Month,Day,HDD65_mean,HDD65_min,HDD65_max,HDD65_p10,HDD65_p90,CDD65_mean,CDD65_min,CDD65_max,CDD65_p10,CDD65_p90,Tmean_mean,Tmin_mean,Tmax_mean,Samples,DayOfYear
1,1,35.51,33.9,39.84,33.9,36.879000000000005,0.0,0.0,0.0,0.0,0.0,29.490000000000002,23.58,35.400000000000006,18,1
1,2,37.93,30.299999999999997,43.17,30.299999999999997,43.17,0.0,0.0,0.0,0.0,0.0,27.07,19.799999999999997,34.34,18,2
1,3,42.97,34.17,49.65,34.17,49.65,0.0,0.0,0.0,0.0,0.0,22.03,18.24,25.82,18,3
1,4,37.79,23.82,43.89,29.742,43.89,0.0,0.0,0.0,0.0,0.0,27.209999999999997,21.0,33.42,18,4
1,5,40.370000000000005,33.45,45.24,33.45,45.24,0.0,0.0,0.0,0.0,0.0,24.63,17.34,31.919999999999998,18,5
1,6,40.43,33.81,48.39,33.81,44.48400000000001,0.0,0.0,0.0,0.0,0.0,24.57,19.44,29.700000000000003,18,6
1,7,38.98,36.06,52.44,36.06,42.36000000000001,0.0,0.0,0.0,0.0,0.0,26.02,19.099999999999998,32.940000000000005,18,7
1,8,41.46,36.69,55.32,36.69,45.68100000000001,0.0,0.0,0.0,0.0,0.0,23.540000000000003,16.66,30.419999999999998,18,8
1,9,44.61,39.39,48.03,39.39,48.03,0.0,0.0,0.0,0.0,0.0,20.39,13.7,27.08,18,9
1,10,45.57,36.24,50.46,36.24,50.46,0.0,0.0,0.0,0.0,0.0,19.429999999999996,10.919999999999996,27.939999999999998,18,10
1,11,42.96,40.019999999999996,45.33,40.019999999999996,44.574,0.0,0.0,0.0,0.0,0.0,22.040000000000003,13.600000000000001,30.48,18,11
1,12,39.45,35.160000000000004,42.72,35.160000000000004,42.72,0.0,0.0,0.0,0.0,0.0,25.549999999999997,17.36,33.739999999999995,18,12
1,13,41.489999999999995,34.44,46.14,34.44,45.195,0.0,0.0,0.0,0.0,0.0,23.51,14.82,32.2,18,13
1,14,36.67,30.93,49.29,30.93,41.10000000000001,0.0,0.0,0.0,0.0,0.0,28.33,21.08,35.58,18,14
1,15,32.72,30.840000000000003,43.71,30.840000000000003,35.26800000000001,0.0,0.0,0.0,0.0,0.0,32.28,26.08,38.48,18,15
1,16,31.34,26.61,42.63,26.61,35.13300000000001,0.0,0.0,0.0,0.0,0.0,33.66,25.799999999999997,41.52,18,16
1,17,34.62,30.21,50.55,30.21,39.02100000000001,0.0,0.0,0.0,0.0,0.0,30.380000000000003,25.5,35.260000000000005,18,17
1,18,31.649999999999995,30.39,32.37,30.39,32.37,0.0,0.0,0.0,0.0,0.0,33.35,28.0,38.7,18,18
1,19,32.66,32.46,32.910000000000004,32.46,32.910000000000004,0.0,0.0,0.0,0.0,0.0,32.34,27.04,37.64,18,19
