Month,Day,HDD65_mean,HDD65_min,HDD65_max,HDD65_p10,HDD65_p90,CDD65_mean,CDD65_min,CDD65_max,CDD65_p10,CDD65_p90,Tmean_mean,Tmin_mean,Tmax_mean,Samples,DayOfYear
1,1,36.0,21.0,61.0,24.9,50.4,0.0,0.0,0.0,0.0,0.0,28.7,21.0,37.0,30,1
1,2,36.0,23.0,58.0,25.9,50.1,0.0,0.0,0.0,0.0,0.0,28.5,21.0,36.0,30,2
1,3,37.0,10.0,60.0,22.6,51.1,0.0,0.0,0.0,0.0,0.0,28.3,20.0,36.0,30,3
1,4,37.0,16.0,57.0,20.7,48.2,0.0,0.0,0.0,0.0,0.0,28.1,20.0,36.0,30,4
1,5,37.0,15.0,55.0,22.9,47.2,0.0,0.0,0.0,0.0,0.0,28.0,20.0,36.0,30,5
1,6,37.0,4.0,60.0,24.9,51.2,0.0,0.0,0.0,0.0,0.0,27.8,20.0,36.0,30,6
1,7,37.0,20.0,61.0,22.9,51.1,0.0,0.0,0.0,0.0,0.0,27.6,20.0,36.0,30,7
1,8,38.0,16.0,54.0,28.8,49.2,0.0,0.0,0.0,0.0,0.0,27.5,20.0,36.0,30,8
1,9,38.0,12.0,58.0,27.6,49.1,0.0,0.0,0.0,0.0,0.0,27.4,19.0,35.0,30,9
1,10,38.0,16.0,61.0,24.9,48.3,0.0,0.0,0.0,0.0,0.0,27.2,19.0,35.0,30,10
1,11,38.0,10.0,53.0,20.0,47.2,0.0,0.0,0.0,0.0,0.0,27.1,19.0,35.0,30,11
1,12,38.0,14.0,44.0,20.6,43.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,35.0,30,12
1,13,38.0,20.0,44.0,22.9,44.0,0.0,0.0,0.0,0.0,0.0,26.9,19.0,35.0,30,13
1,14,38.0,18.0,62.0,20.9,52.5,0.0,0.0,0.0,0.0,0.0,26.8,19.0,35.0,30,14
1,15,38.0,11.0,63.0,27.0,54.2,0.0,0.0,0.0,0.0,0.0,26.7,18.0,35.0,30,15
1,16,38.0,7.0,66.0,28.0,54.4,0.0,0.0,0.0,0.0,0.0,26.6,18.0,35.0,30,16
1,17,38.0,18.0,58.0,28.0,50.2,0.0,0.0,0.0,0.0,0.0,26.6,18.0,35.0,30,17
1,18,38.0,18.0,60.0,27.9,56.3,0.0,0.0,0.0,0.0,0.0,26.5,18.0,35.0,30,18
1,19,38.0,23.0,62.0,27.9,55.0,0.0,0.0,0.0,0.0,0.0,26.5,18.0,35.0,30,19
1,20,38.0,18.0,62.0,24.9,50.0,0.0,0.0,0.0,0.0,0.0,26.4,18.0,35.0,30,20
1,21,39.0,17.0,64.0,27.7,54.5,0.0,0.0,0.0,0.0,0.0,26.4,18.0,35.0,30,21
1,22,39.0,21.0,61.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,26.4,18.0,35.0,30,22
1,23,39.0,24.0,56.0,28.0,54.1,0.0,0.0,0.0,0.0,0.0,26.4,18.0,35.0,30,23
1,24,39.0,19.0,61.0,21.0,54.1,0.0,0.0,0.0,0.0,0.0,26.4,18.0,35.0,30,24
1,25,38.0,20.0,58.0,28.0,49.2,0.0,0.0,0.0,0.0,0.0,26.5,18.0,35.0,30,25
1,26,38.0,22.0,57.0,27.6,53.0,0.0,0.0,0.0,0.0,0.0,26.5,18.0,35.0,30,26
1,27,38.0,22.0,61.0,25.8,52.3,0.0,0.0,0.0,0.0,0.0,26.6,18.0,35.0,30,27
1,28,38.0,23.0,57.0,26.7,51.5,0.0,0.0,0.0,0.0,0.0,26.6,18.0,35.0,30,28
1,29,38.0,15.0,54.0,28.0,46.3,0.0,0.0,0.0,0.0,0.0,26.7,18.0,35.0,30,29
1,30,38.0,20.0,55.0,27.6,48.2,0.0,0.0,0.0,0.0,0.0,26.8,18.0,35.0,30,30
1,31,38.0,19.0,62.0,23.8,48.0,0.0,0.0,0.0,0.0,0.0,26.9,18.0,36.0,30,31
2,1,38.0,15.0,59.0,27.9,48.4,0.0,0.0,0.0,0.0,0.0,27.0,18.0,36.0,30,32
2,2,38.0,24.0,55.0,26.0,47.2,0.0,0.0,0.0,0.0,0.0,27.1,18.0,36.0,30,33
2,3,38.0,17.0,52.0,24.7,46.4,0.0,0.0,0.0,0.0,0.0,27.2,19.0,36.0,30,34
2,4,38.0,14.0,59.0,23.8,48.1,0.0,0.0,0.0,0.0,0.0,27.4,19.0,36.0,30,35
2,5,38.0,16.0,62.0,25.6,49.4,0.0,0.0,0.0,0.0,0.0,27.5,19.0,36.0,30,36
2,6,37.0,17.0,59.0,26.9,50.0,0.0,0.0,0.0,0.0,0.0,27.7,19.0,36.0,30,37
2,7,37.0,27.0,57.0,28.8,49.2,0.0,0.0,0.0,0.0,0.0,27.9,19.0,37.0,30,38
2,8,37.0,21.0,54.0,26.8,49.1,0.0,0.0,0.0,0.0,0.0,28.1,19.0,37.0,30,39
2,9,37.0,23.0,54.0,28.0,46.0,0.0,0.0,0.0,0.0,0.0,28.2,19.0,37.0,30,40
2,10,37.0,25.0,54.0,27.9,49.0,0.0,0.0,0.0,0.0,0.0,28.4,20.0,37.0,30,41
2,11,36.0,21.0,52.0,25.8,47.4,0.0,0.0,0.0,0.0,0.0,28.6,20.0,38.0,30,42
2,12,36.0,18.0,55.0,24.7,50.1,0.0,0.0,0.0,0.0,0.0,28.9,20.0,38.0,30,43
2,13,36.0,29.0,60.0,30.9,54.1,0.0,0.0,0.0,0.0,0.0,29.1,20.0,38.0,30,44
2,14,36.0,22.0,66.0,28.7,47.6,0.0,0.0,0.0,0.0,0.0,29.3,20.0,38.0,30,45
2,15,36.0,21.0,60.0,25.8,49.5,0.0,0.0,0.0,0.0,0.0,29.5,21.0,38.0,30,46
2,16,35.0,20.0,59.0,21.9,48.1,0.0,0.0,0.0,0.0,0.0,29.8,21.0,39.0,30,47
2,17,35.0,21.0,51.0,24.0,45.3,0.0,0.0,0.0,0.0,0.0,30.0,21.0,39.0,30,48
2,18,35.0,17.0,52.0,26.0,44.1,0.0,0.0,0.0,0.0,0.0,30.2,21.0,39.0,30,49
2,19,34.0,16.0,52.0,25.0,48.1,0.0,0.0,0.0,0.0,0.0,30.5,22.0,40.0,30,50
2,20,34.0,9.0,57.0,21.5,42.2,0.0,0.0,0.0,0.0,0.0,30.8,22.0,40.0,30,51
2,21,34.0,3.0,54.0,20.9,41.2,0.0,0.0,0.0,0.0,0.0,31.0,22.0,40.0,30,52
2,22,34.0,14.0,49.0,19.9,41.0,0.0,0.0,0.0,0.0,0.0,31.3,22.0,40.0,30,53
2,23,34.0,15.0,48.0,23.9,40.1,0.0,0.0,0.0,0.0,0.0,31.5,22.0,41.0,30,54
2,24,33.0,8.0,59.0,19.7,41.2,0.0,0.0,0.0,0.0,0.0,31.8,23.0,41.0,30,55
2,25,33.0,9.0,51.0,18.0,43.2,0.0,0.0,0.0,0.0,0.0,32.1,23.0,41.0,30,56
