date,hold_setpoint,setback_setpoint,setback_degrees,recovery_start_temp,degrees_to_recover,recovery_minutes,min_per_degree,outdoor_temp
2026-02-11 05:41,67.0,63.0,4.0,65.0,2.0,11.6,5.8,29.1
2026-02-12 05:44,67.0,63.0,4.0,63.0,4.0,14.3,3.6,25.7
2026-02-13 05:45,67.0,63.0,4.0,63.0,4.0,15.6,3.9,23.0
2026-02-14 05:45,67.0,63.0,4.0,63.0,4.0,15.6,3.9,22.9
2026-02-15 05:43,67.0,63.0,4.0,65.0,2.0,13.2,6.6,21.5
2026-02-16 05:44,67.0,63.0,4.0,63.0,4.0,14.5,3.6,28.4
2026-02-17 05:41,67.0,63.0,4.0,65.0,2.0,11.9,6.0,31.0
2026-02-18 05:45,67.0,63.0,4.0,63.0,4.0,15.2,3.8,31.4
2026-02-19 05:39,67.0,63.0,4.0,63.0,4.0,9.8,2.5,33.7
2026-02-20 05:43,67.0,63.0,4.0,63.0,4.0,13.2,3.3,31.8
2026-02-21 05:41,67.0,63.0,4.0,65.0,2.0,11.8,5.9,32.1
2026-02-22 05:41,67.0,63.0,4.0,63.0,4.0,11.8,3.0,31.9
2026-02-23 05:44,67.0,63.0,4.0,63.0,4.0,14.2,3.5,29.5
2026-02-24 05:44,67.0,63.0,4.0,63.0,4.0,14.6,3.6,22.1
2026-02-25 05:44,67.0,63.0,4.0,63.0,4.0,14.3,3.6,30.2
2026-02-26 05:39,67.0,63.0,4.0,63.0,4.0,9.3,2.3,26.0
2026-02-27 05:43,67.0,63.0,4.0,63.0,4.0,13.2,3.3,21.8
2026-02-28 05:44,67.0,63.0,4.0,63.0,4.0,14.6,3.6,26.1
2026-03-01 05:42,67.0,63.0,4.0,63.0,4.0,12.6,3.1,32.6
2026-03-02 05:48,67.0,63.0,4.0,63.0,4.0,18.2,4.5,18.6
2026-03-03 05:44,67.0,63.0,4.0,63.0,4.0,14.9,3.7,20.3
2026-03-04 05:46,67.0,63.0,4.0,63.0,4.0,16.5,4.1,32.4
2026-03-05 05:44,67.0,63.0,4.0,63.0,4.0,14.5,3.6,31.8
2026-03-06 05:44,67.0,63.0,4.0,63.0,4.0,14.5,3.6,37.2
2026-03-07 05:44,67.0,63.0,4.0,63.0,4.0,14.8,3.7,34.8
2026-03-08 05:43,67.0,63.0,4.0,63.0,4.0,13.2,3.3,39.9
2026-03-09 05:44,67.0,63.0,4.0,63.0,4.0,14.5,3.6,34.8
2026-03-10 05:42,67.0,63.0,4.0,63.0,4.0,12.5,3.1,38.1
