"timestamp","hdd_year","hdd_month","cdd_year","cdd_month","filter_hrs","temp_sum","temp_days","expected_runtime","hdd_d1","hdd_d2","hdd_d3","hdd_d4","hdd_d5","hdd_d6","hdd_d7","furnace_rt_acc","furnace_cy_acc","z1f_rt_acc","z2f_rt_acc","z1f_cy_acc","z2f_cy_acc","ac_rt_acc","ac_cy_acc","z1f_cool_rt_acc","z2f_cool_rt_acc","z1f_cool_cy_acc","z2f_cool_cy_acc","cdd_d1","cdd_d2","cdd_d3","cdd_d4","cdd_d5","cdd_d6","cdd_d7","cdd_seed_mean","cdd_seed_stddev","rpc_d1","rpc_d2","rpc_d3","rpc_d4","rpc_d5","rpc_d6","rpc_d7","fmpc_d1","fmpc_d2","fmpc_d3","fmpc_d4","fmpc_d5","fmpc_d6","fmpc_d7","ampc_d1","ampc_d2","ampc_d3","ampc_d4","ampc_d5","ampc_d6","ampc_d7"
"2026-02-08 04:00","1515.0","322.4","0.0","0.0","195.7","131.5","7.0","41.09","54.4","42.1","41.9","41.5","44.6","45.7","52.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-02-15 04:00","1797.9","605.3","0.0","0.0","244.79","317.2","14.0","79.69","33.9","35.8","36.5","32.3","38.6","47.9","57.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-02-22 04:00","2012.5","819.9","0.0","0.0","282.27","557.9","21.0","117.09","28.0","30.7","29.4","30.2","32.1","31.4","32.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-03-01 04:00","2255.2","0.0","0.0","0.0","319.77","0.0","0.0","0.0","29.4","35.4","32.5","35.0","42.1","36.0","32.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-03-08 04:00","2474.9","219.7","0.0","0.0","356.41","227.4","7.0","29.47","27.5","27.6","28.3","26.7","36.9","40.6","32.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-03-15 04:00","2622.6","367.4","0.0","0.0","364.82","544.3","14.0","51.61","25.3","30.0","21.6","13.6","17.2","19.6","20.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-03-22 04:00","2802.8","547.6","0.0","0.0","380.69","820.8","21.0","66.29","19.5","24.5","32.5","34.7","25.6","14.8","28.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-03-29 04:00","2968.7","713.5","0.0","0.0","404.94","1104.0","28.0","87.1","30.1","18.6","17.4","25.2","27.5","25.2","21.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-05 04:00","3084.3","61.5","0.0","0.0","3.23","198.1","4.0","11.35","12.4","19.4","21.6","8.1","10.7","15.9","27.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-12 04:00","3235.0","212.2","0.0","0.0","19.5","499.3","11.0","22.44","14.2","19.9","25.4","29.0","22.9","21.2","18.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-19 04:00","3282.2","259.4","1.4","1.4","23.13","914.8","18.0","31.96","11.2","2.1","0.0","0.0","3.1","11.3","19.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-26 04:00","3418.3","395.5","1.4","1.4","38.78","1228.6","25.0","42.75","21.9","13.4","9.9","21.1","25.4","24.1","20.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-05-03 04:00","3524.8","29.7","1.4","0.0","46.7","103.8","2.0","1.64","14.6","15.1","15.9","14.8","13.2","13.5","19.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-05-10 04:00","3599.0","103.9","1.4","0.0","52.75","489.5","9.0","6.15","10.4","12.5","10.1","7.3","6.3","10.9","16.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-05-24 04:00","3669.7","174.6","1.4","0.0","56.81","874.6","16.0","8.16","11.8","7.8","9.2","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-05-31 04:00","3703.2","208.1","5.2","3.8","61.39","1305.8","23.0","9.42","13.3","2.3","0.0","0.0","0.4","5.2","12.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
