# HA energy export  date=2026-07-24  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.875,0.0,0.041,0.099,0.032,0.016,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598,0.007,0.011,0.0,0.0,0.01
01:00,0.567,0.0,0.04,0.098,0.03,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,0.007,0.01,0.0,0.0,0.011
02:00,0.196,0.0,0.04,0.049,0.032,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007
03:00,0.202,0.0,0.041,0.052,0.034,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.007
04:00,0.22,0.0,0.039,0.069,0.031,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.0,0.008
05:00,0.201,0.0,0.041,0.044,0.031,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.01,0.0,0.0,0.007
06:00,0.672,0.0,0.041,0.066,0.031,0.072,0.013,0.0,0.219,0.0,0.145,0.009,0.0,0.0,0.0,0.0,0.0,0.024,0.011,0.0,0.0,0.065
07:00,0.392,0.0,0.042,0.06,0.063,0.088,0.01,0.0,0.053,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.031,0.0,0.08
08:00,0.317,0.0,0.039,0.047,0.105,0.013,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.009,0.011,0.072,0.0,0.008
09:00,0.358,0.0,0.04,0.071,0.106,0.012,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.0,0.012,0.011,0.073,0.0,0.007
10:00,2.853,1.166,0.367,0.053,0.113,0.013,0.045,0.0,0.004,0.0,0.0,0.0,0.027,0.0,0.946,0.009,0.0,0.011,0.011,0.074,0.007,0.008
11:00,0.876,0.036,0.052,0.076,0.077,0.03,0.048,0.0,0.002,0.0,0.001,0.019,0.051,0.0,0.365,0.02,0.0,0.011,0.011,0.037,0.006,0.013
12:00,5.668,0.828,0.265,0.052,0.09,0.038,0.028,0.173,0.0,0.0,0.0,0.053,0.041,3.892,0.114,0.013,0.0,0.01,0.011,0.051,0.007,0.007
13:00,3.893,0.44,0.158,0.116,0.077,0.013,0.012,0.0,0.0,0.0,0.0,0.0,0.0,2.739,0.011,0.003,0.239,0.009,0.011,0.037,0.007,0.008
14:00,1.365,0.342,0.141,0.118,0.069,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.583,0.016,0.01,0.029,0.007,0.007
15:00,2.244,1.028,0.329,0.109,0.084,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.015,0.011,0.044,0.007,0.008
16:00,1.123,0.0,0.04,0.257,0.104,0.047,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.009,0.011,0.063,0.006,0.04
17:00,3.745,1.892,0.594,0.118,0.068,0.095,0.04,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.586,0.019,0.011,0.029,0.007,0.087
18:00,0.994,0.158,0.088,0.111,0.074,0.118,0.014,0.191,0.0,0.0,0.0,0.02,0.001,0.0,0.0,0.001,0.148,0.018,0.011,0.033,0.007,0.094
19:00,1.217,0.542,0.212,0.127,0.124,0.138,0.01,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.008,0.011,0.084,0.007,0.092
20:00,1.193,0.56,0.218,0.12,0.107,0.1,0.019,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.008,0.011,0.065,0.007,0.066
21:00,1.386,0.702,0.272,0.12,0.133,0.012,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.009,0.011,0.082,0.007,0.007
22:00,1.156,0.6,0.23,0.124,0.105,0.013,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.064,0.0,0.008
23:00,0.3,0.0,0.04,0.118,0.049,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.016,0.0,0.007
TOTAL_kWh,32.013,8.294,3.41,2.274,1.769,0.922,0.543,0.618,0.278,0.0,0.166,0.105,0.121,6.64,1.443,0.06,3.627,0.261,0.258,0.884,0.082,0.662
