# HA energy export  date=2026-08-21  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.1648 at btu=1030.0 pf=1.0  sem_vs_util=None%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.973,0.542,0.231,0.06,0.033,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.022,0.008,0.011,0.0,0.0,0.007,0.0,0.0,0.0
01:00,0.308,0.0,0.043,0.048,0.032,0.018,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.099,0.009,0.011,0.0,0.0,0.013,0.0,0.0,0.0
02:00,0.225,0.0,0.043,0.07,0.033,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.0,0.0
03:00,0.221,0.0,0.043,0.064,0.035,0.013,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.008,0.0,0.0,0.0
04:00,0.203,0.0,0.042,0.047,0.034,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.0,0.0
05:00,0.349,0.0,0.043,0.065,0.033,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.123,0.01,0.011,0.0,0.0,0.007,0.0,0.0,0.0
06:00,0.594,0.0,0.043,0.062,0.036,0.02,0.01,0.001,0.196,0.0,0.141,0.017,0.0,0.0,0.0,0.004,0.0,0.02,0.011,0.0,0.0,0.008,0.0,0.0,0.0
07:00,0.394,0.0,0.042,0.045,0.062,0.08,0.012,0.0,0.054,0.0,0.019,0.006,0.0,0.0,0.0,0.003,0.0,0.02,0.011,0.02,0.0,0.067,0.0,0.0,0.0
08:00,0.855,0.0,0.043,0.071,0.115,0.013,0.049,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.489,0.014,0.0,0.012,0.011,0.077,0.0,0.008,0.0,0.0,0.0
09:00,1.116,0.0,0.043,0.053,0.121,0.015,0.042,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.655,0.005,0.124,0.01,0.011,0.086,0.0,0.007,0.0,0.0,0.0
10:00,0.709,0.0,0.042,0.091,0.152,0.068,0.072,0.001,0.003,0.0,0.041,0.058,0.0,0.0,0.06,0.057,0.0,0.014,0.011,0.103,0.0,0.007,0.0,0.0,0.0
11:00,4.214,1.128,0.383,0.11,0.132,0.101,0.047,0.0,0.002,0.0,0.0,0.087,0.001,1.938,0.061,0.044,0.073,0.013,0.012,0.081,0.0,0.009,0.0,0.0,0.0
12:00,4.017,0.0,0.043,0.101,0.084,0.059,0.011,0.174,0.0,0.0,0.0,0.045,0.009,3.304,0.063,0.008,0.051,0.009,0.011,0.043,0.0,0.011,0.0,0.0,0.0
13:00,3.649,0.706,0.25,0.103,0.11,0.02,0.018,0.0,0.0,0.0,0.0,0.013,0.0,2.308,0.047,0.003,0.0,0.014,0.011,0.072,0.0,0.007,0.0,0.0,0.0
14:00,3.704,0.708,0.26,0.096,0.11,0.023,0.022,0.0,0.0,0.0,0.0,0.0,0.0,2.221,0.071,0.002,0.119,0.016,0.011,0.072,0.0,0.008,0.0,0.0,0.0
15:00,2.321,0.0,0.043,0.107,0.114,0.039,0.023,0.0,0.0,0.0,0.0,0.013,0.0,1.917,0.0,0.001,0.0,0.021,0.011,0.073,0.0,0.024,2.0,3.2,2.31
16:00,0.427,0.0,0.042,0.095,0.122,0.087,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.027,0.046,0.069,0.0,0.2,0.44
17:00,0.797,0.0,0.043,0.12,0.309,0.078,0.023,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.011,0.035,0.222,0.065,6.0,1.4,0.79
18:00,0.814,0.0,0.043,0.107,0.089,0.123,0.023,0.208,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.137,0.018,0.011,0.044,0.007,0.097,6.0,2.7,0.81
19:00,0.591,0.076,0.06,0.101,0.124,0.142,0.022,0.0,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.002,0.0,0.01,0.012,0.071,0.007,0.09,2.0,4.3,0.61
20:00,0.471,0.0,0.043,0.124,0.107,0.119,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.008,0.011,0.055,0.007,0.08,0.0,0.2,0.47
21:00,1.944,1.06,0.375,0.104,0.138,0.013,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.113,0.01,0.011,0.08,0.007,0.007,0.0,4.8,1.93
22:00,0.298,0.0,0.043,0.103,0.061,0.013,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.015,0.007,0.008,0.0,2.9,0.31
23:00,0.275,0.0,0.043,0.1,0.043,0.013,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.007,0.007,0.0,0.1,0.27
TOTAL,29.469,4.22,2.329,2.047,2.229,1.109,0.57,0.55,0.255,0.001,0.201,0.267,0.011,11.688,1.446,0.185,0.861,0.29,0.266,0.954,0.31,0.628,16.0,19.8,7.94
