# HA energy export  date=2026-08-26  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.309 at btu=1030.0 pf=1.0  sem_vs_util=0.12%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.89,0.402,0.177,0.051,0.038,0.014,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.008,0.011,0.0,0.0,0.008,0.0,0.0,0.95
01:00,0.246,0.0,0.041,0.07,0.037,0.017,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.0,0.012,0.0,0.1,0.24
02:00,0.22,0.0,0.041,0.047,0.038,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,1.4,0.21
03:00,0.307,0.0,0.041,0.071,0.04,0.012,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.009,0.011,0.0,0.0,0.008,0.0,0.1,0.3
04:00,0.302,0.0,0.041,0.061,0.037,0.013,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.008,0.011,0.0,0.0,0.007,0.0,1.4,0.3
05:00,0.222,0.0,0.041,0.05,0.038,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.0,0.0,0.007,2.0,0.2,0.22
06:00,0.571,0.0,0.04,0.072,0.037,0.013,0.02,0.0,0.208,0.0,0.094,0.007,0.0,0.0,0.0,0.0,0.0,0.023,0.011,0.0,0.0,0.008,2.0,2.8,0.56
07:00,0.606,0.0,0.041,0.052,0.055,0.092,0.077,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.135,0.023,0.011,0.017,0.0,0.085,6.0,19.3,0.61
08:00,0.335,0.0,0.041,0.062,0.115,0.013,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.076,0.0,0.008,0.0,2.1,0.33
09:00,0.325,0.0,0.041,0.071,0.117,0.013,0.02,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.078,0.0,0.007,0.0,5.2,0.33
