date,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy,_hours,_branch_sum,_other,_other_attributed,_true_residual,_gas_therms,_sem_vs_util_pct
2026-06-28,24.373,9.116,3.719,2.041,1.847,0.77,0.515,0.216,0.264,0.0,0.153,0.042,0.003,0.0,0.0,0.007,4.221,0.0,0.0,0.909,0.281,0.57,,,,24.0,18.693,5.68,4.221,1.459,,
2026-06-29,33.541,12.704,4.46,2.147,1.801,0.795,0.52,0.043,0.276,0.002,0.295,0.069,0.045,4.357,0.092,0.019,4.33,0.079,0.087,0.888,0.282,0.609,,,,24.0,27.625,5.916,4.496,1.42,,
2026-06-30,29.134,13.64,4.854,2.208,2.003,0.819,0.461,0.132,0.283,0.625,0.154,0.074,0.022,0.0,0.0,0.0,2.296,0.209,0.258,0.869,0.497,0.623,,,,24.0,25.275,3.859,2.763,1.096,,
2026-07-01,35.818,18.75,6.044,2.411,1.842,0.782,0.489,0.0,0.268,0.0,0.142,0.055,0.006,0.0,0.0,0.008,3.375,0.25,0.258,0.976,0.242,0.567,,,,24.0,30.797,5.021,3.883,1.138,,
2026-07-02,42.736,25.486,7.607,2.183,2.732,0.693,0.469,0.048,0.274,0.0,0.127,0.015,0.0,0.0,0.0,0.008,1.463,0.25,0.259,1.033,1.026,0.515,,,,24.0,39.642,3.094,1.972,1.122,,
2026-07-03,51.743,28.448,8.225,2.293,2.756,0.909,0.475,0.496,0.299,0.636,0.173,0.024,0.001,5.174,0.182,0.026,0.0,0.245,0.258,0.981,1.122,0.664,,,,24.0,50.117,1.626,0.503,1.123,,
2026-07-04,35.008,21.384,6.449,3.023,1.544,0.815,0.322,0.329,0.265,0.0,0.187,0.082,0.006,0.0,0.0,0.0,0.0,0.22,0.285,0.893,0.075,0.591,,,,24.0,34.406,0.602,0.505,0.097,,
2026-07-05,36.972,13.478,4.582,1.836,1.745,0.727,0.294,0.015,0.211,0.63,0.0,0.098,0.022,6.922,0.196,0.015,1.843,0.186,0.191,0.834,0.373,0.445,,,,19.0,30.771,6.201,2.22,3.981,,
2026-07-06,22.653,0.938,1.328,2.261,1.668,1.05,0.632,0.21,0.283,0.677,0.274,0.255,0.006,5.228,0.093,0.029,5.978,0.269,0.258,0.895,0.093,0.734,,,,24.0,14.932,7.721,6.505,1.216,,
2026-07-07,17.732,0.556,1.203,1.866,1.836,0.66,0.484,0.314,0.276,0.0,0.178,0.208,0.009,3.748,0.138,0.005,4.642,0.238,0.258,1.076,0.052,0.474,,,,24.0,11.481,6.251,5.138,1.113,,
